City_ID,City,Country,Max Temp,Current Description,Lat,lng,Hotel Name
1,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
3,Touros,BR,76.01,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
13,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
17,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
19,Vaini,TO,75.36,thunderstorm,-21.2,-175.2,Keleti Beach Resort
25,Tabou,CI,76.28,overcast clouds,4.423,-7.3528,hotêl doufoulougou
34,Cayenne,GF,75.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
35,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
38,Itarema,BR,77.43,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
42,Dicabisagan,PH,85.8,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
44,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Bocas Del Toro,PA,81.05,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
55,Basco,PH,83.28,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
58,Jaciara,BR,77.22,few clouds,-15.9653,-54.9683,Taba Hotel
59,Eyl,SO,75.85,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
63,Cobija,BO,79.5,scattered clouds,-11.0267,-68.7692,Hotel Obelisco
69,Ixtapa,MX,78.22,broken clouds,20.7,-105.2,hotel la terminal
71,Kuliyapitiya,LK,80.28,overcast clouds,7.4688,80.0401,Rest House
89,Manokwari,ID,84.29,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
92,Hermiston,US,75.81,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
96,Baghdad,IQ,84.09,clear sky,33.3406,44.4009,Baghdad Hotel
104,Metro,ID,82.58,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
105,Dafeng,CN,85.48,clear sky,23.4517,108.5881,Shenglong Hotel
106,Manggar,ID,84.36,overcast clouds,-2.8833,108.2667,Guest Hotel
108,San Ramon,US,75.27,clear sky,37.7799,-121.978,San Ramon Marriott
109,Marawi,PH,80.08,broken clouds,7.9986,124.2928,Derogongan Residence
113,Sabalgarh,IN,77.02,overcast clouds,26.25,77.4,Kailadevi studio
118,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
121,Wanning,CN,83.88,clear sky,18.8003,110.3967,Paradise Hotel
124,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
130,Kavaratti,IN,81.57,overcast clouds,10.5669,72.642,Green leaf
131,Bonthe,SL,77.04,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
132,Islamkot,PK,79.5,clear sky,24.6997,70.177,Pizza point islamkot
135,Faanui,PF,78.58,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Laguna,US,83.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
147,Atuona,PF,76.84,scattered clouds,-9.8,-139.0333,Villa Enata
148,Laguna De Perlas,NI,78.33,overcast clouds,12.3429,-83.6712,Hotel Best View
151,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
159,Harper,LR,76.41,overcast clouds,4.375,-7.7169,Screensaver
165,Kavieng,PG,85.01,broken clouds,-2.5744,150.7967,Nusa Island Retreat
171,Bengkulu,ID,79.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Porto Novo,BJ,75.58,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
182,Sakakah,SA,77.22,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
183,Partapur,IN,79.2,overcast clouds,23.6,74.1667,Hotel The Park
190,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
194,Katsuura,JP,75.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
199,Shingu,JP,77.04,broken clouds,33.7333,135.9833,Shingu UI Hotel
201,Galle,LK,79.32,light rain,6.0367,80.217,Amangalla
205,Sagaing,MM,80.78,few clouds,21.8787,95.9797,Makara Cruise
217,Muncar,ID,81.34,broken clouds,-8.4333,114.3333,Zaky Homestay
218,Aden,YE,84.94,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
229,Mahibadhoo,MV,81.79,overcast clouds,3.7833,72.9667,Omadhoo Inn
250,Waingapu,ID,86.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
255,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
256,Hirara,JP,82.27,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
266,Lodhran,PK,79.41,clear sky,29.5405,71.6336,Gulshan e khalil
275,Alyangula,AU,85.53,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
279,San Patricio,US,77.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
280,Lazaro Cardenas,MX,79.56,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
282,Champerico,GT,80.96,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
292,Luganville,VU,80.56,broken clouds,-15.5333,167.1667,The Espiritu Hotel
294,Barbalha,BR,75.36,few clouds,-7.3111,-39.3042,Motel Sun Set
298,Mersing,MY,81.19,moderate rain,2.4312,103.8405,Timotel Hotel
301,Ugoofaaru,MV,81.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
304,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
307,Labrea,BR,78.08,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
316,Tautira,PF,76.1,broken clouds,-17.7333,-149.15,Pension Oaoa
329,Satrikh,IN,78.87,overcast clouds,26.8667,81.2,TRC HOSTEL
333,Bom Jesus,BR,77.31,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
335,Qui Nhon,VN,80.73,overcast clouds,13.7667,109.2333,Seagull Hotel
336,Quang Ngai,VN,82.38,overcast clouds,15.1167,108.8,Central Hotel
337,Nova Olinda Do Norte,BR,78.96,broken clouds,-3.8881,-59.0942,Casa Juazeiro
342,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
343,Naze,JP,80.19,clear sky,28.3667,129.4833,Shishime Hotel
346,Lorengau,PG,85.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
348,Kahului,US,78.96,broken clouds,20.8947,-156.47,Maui Seaside Hotel
349,Gushikawa,JP,87.8,scattered clouds,26.3544,127.8686,Kirari Guest House
353,Charters Towers,AU,83.48,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
354,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
356,Tuy Hoa,VN,80.47,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
359,Eirunepe,BR,75.34,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
360,Victoria,HK,88.18,scattered clouds,22.2855,114.1577,Mini Central
361,Arona,ES,75.9,few clouds,28.0996,-16.681,Paradise Court
363,Dingle,PH,85.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
367,Port Blair,IN,81.66,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
371,Kattivakkam,IN,84.29,moderate rain,13.2167,80.3167,Euronova Freezer
377,Soeng Sang,TH,78.69,light rain,14.4264,102.4606,ปาณิสรา รีสอร์ท
378,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
380,Vanimo,PG,87.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
386,Coahuayana,MX,77.05,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
387,Phibun Mangsahan,TH,85.08,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
396,Savannah Bight,HN,82.71,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
403,Tevaitoa,PF,78.15,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
410,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
415,Kovur,IN,81.43,light rain,14.4833,79.9833,Hotel Yesh Park
419,La Asuncion,VE,79.95,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
421,Fare,PF,78.04,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
422,Sorong,ID,83.32,broken clouds,-0.8833,131.25,Waigo Splash Hotel
423,Kollam,IN,78.12,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
425,Batticaloa,LK,81.28,overcast clouds,7.7102,81.6924,Grand Star Guest House
435,Dwarka,IN,80.82,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
440,Kaya,BF,80.17,few clouds,13.0917,-1.0844,Maison de l'appelé
442,Auki,SB,86.7,few clouds,-8.7676,160.7034,Auki Motel
443,Saint George,US,82.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
444,Itaituba,BR,77.07,clear sky,-4.2761,-55.9836,Hotel Campos
445,Puerto Madero,MX,80.8,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
449,Sibolga,ID,75.43,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
450,Bellmead,US,75.78,clear sky,31.594,-97.1089,Hampton Inn Waco
452,Matara,LK,79.48,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
455,Cam Ranh,VN,85.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
459,Buraydah,SA,75.56,clear sky,26.326,43.975,Mövenpick Qassim
462,Yulara,AU,75.74,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
466,Yucca Valley,US,86.13,clear sky,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
471,Galveston,US,77.95,clear sky,29.3669,-94.9669,Crystal Suites
474,Puerto El Triunfo,SV,77.0,overcast clouds,13.2833,-88.55,Hotel Jardin
478,Gizo,SB,86.34,overcast clouds,-8.103,156.8419,Imagination Island
483,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
484,Nishihara,JP,87.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
485,Walker,US,75.52,clear sky,30.7335,-95.5669,"Holiday Inn Express & Suites Huntsville, an IHG Hotel"
499,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
501,Mayumba,GA,75.54,overcast clouds,-3.432,10.6554,LIKWALE LODGE
503,Cotonou,BJ,77.25,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
504,Hobyo,SO,76.33,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
506,Aquiraz,BR,79.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
507,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
508,Sabang,ID,77.5,overcast clouds,5.8933,95.3214,Hotel Citra
512,Maumere,ID,84.85,broken clouds,-8.6199,122.2111,Sylvia Hotel
513,Hit,IQ,80.17,clear sky,33.6416,42.8251,المعلق حسان رزاق
516,Vung Tau,VN,82.94,overcast clouds,10.346,107.0843,Seaside Resort
517,Carauari,BR,78.06,overcast clouds,-4.8828,-66.8958,Hotel Fellip
521,Alofi,NU,77.59,few clouds,-19.0595,-169.9187,Taloa Heights
523,Kailua,US,83.61,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
524,Itoman,JP,88.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
528,Hervey Bay,AU,75.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
530,Port Moresby,PG,84.9,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
532,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
541,Tikrit,IQ,80.87,clear sky,34.6071,43.6782,عماره العبطه
549,Narasannapeta,IN,80.69,overcast clouds,18.4167,84.05,AVK events and catering
556,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
559,Bubaque,GW,81.52,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
560,Sola,VU,80.8,scattered clouds,-13.8833,167.55,Leumerus Bungalows
561,Isangel,VU,77.54,few clouds,-19.55,169.2667,Tanna Lodge
567,Los Algarrobos,PA,77.41,broken clouds,8.5,-82.4333,Waterfall Hostel
584,Sao Filipe,CV,78.1,overcast clouds,14.8961,-24.4956,Hotel Xaguate
585,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
595,Dibulla,CO,79.99,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
597,Manaure,CO,83.89,broken clouds,11.7751,-72.4445,Hotel Palaaima
601,Koupela,BF,77.65,scattered clouds,12.1794,-0.3517,La maison des femmes prostituées ou Bourdelles de tenkodogo
602,Port Augusta,AU,77.23,clear sky,-32.5,137.7667,Majestic Oasis Apartments
608,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
610,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
615,Buala,SB,85.08,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
616,Dayong,CN,81.18,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
617,Ambon,ID,86.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
619,San Andres,CO,84.22,thunderstorm,12.5847,-81.7006,Hotel Arena Blanca
623,Puerto Quijarro,BO,81.93,scattered clouds,-17.7833,-57.7667,Hotel palance
624,Amahai,ID,83.34,light rain,-3.3333,128.9167,HOTEL ISABELA
629,Port-Gentil,GA,77.02,broken clouds,-0.7193,8.7815,Fengshui Residence
632,Dhidhdhoo,MV,81.55,overcast clouds,6.8833,73.1,Dhidhoo beach
641,Les Cayes,HT,79.97,broken clouds,18.2,-73.75,Villa Orphee
642,Pasni,PK,77.68,clear sky,25.2631,63.471,Kashmiri Hotal
644,Praxedis Guerrero,MX,76.46,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
645,Mogok,MM,76.73,scattered clouds,22.9167,96.5,MOGOK HILL HOTEL
647,Bannu,PK,81.18,clear sky,32.9854,70.6027,Oxford Hostel
650,Sinnamary,GF,78.22,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
655,Brazzaville,CG,76.19,light rain,-4.2658,15.2832,Hotel Muesse
658,Niltepec,MX,77.09,scattered clouds,16.5667,-94.6167,Hotel Palma Real
